Time;Range;Azimuth;Elevation;Xmtr_Power;Xmtr_Gain;EIRP;FSL;AL;RL;CL;TL;PL;FD;RF;RIP;FD;gT;CNo;B;CN;EbNo;BER;LM
1 Apr 2023 04:54:24.017;2499.975706;167.841;1.362;-3.010;4.1500;-0.360;167.4501;0.4354;0.0088;0.0007;24.8154;229.2684;53.239712;2.250053;-229.628;-201.129019;7.23000000;6.200784;2000.000000;-56.8095;-53.7992;4.988480e-01;-58.8992
1 Apr 2023 04:54:34.000;2429.170615;167.824;2.049;-3.010;4.1500;-0.360;167.2006;0.3490;0.0059;0.0005;13.5974;186.1633;53.219857;2.250053;-186.523;-158.023996;7.23000000;49.305808;2000.000000;-13.7045;-10.6942;3.398537e-01;-15.7942
1 Apr 2023 04:54:44.000;2358.277165;167.806;2.760;-3.010;4.1500;-0.360;166.9433;0.2870;0.0041;0.0003;6.4511;176.9672;53.191216;2.250053;-177.327;-148.827830;7.23000000;58.501974;2000.000000;-4.5083;-1.4980;1.169873e-01;-6.5980
1 Apr 2023 04:54:54.000;2287.428199;167.787;3.494;-3.010;4.1500;-0.360;166.6784;0.2411;0.0030;0.0003;2.9515;182.0828;53.152928;2.250053;-182.443;-153.943444;7.23000000;53.386360;2000.000000;-9.6239;-6.6136;2.544859e-01;-11.7136
1 Apr 2023 04:55:04.000;2216.637236;167.768;4.256;-3.010;4.1500;-0.360;166.4053;0.2059;0.0024;0.0002;1.4847;168.8150;53.103968;2.250053;-169.175;-140.675627;7.23000000;66.654177;2000.000000;3.6439;6.6542;1.173293e-03;1.5542
1 Apr 2023 04:55:14.000;2145.919273;167.748;5.047;-3.010;4.1500;-0.360;166.1237;0.1784;0.0019;0.0002;0.9381;162.6271;53.043140;2.250053;-162.987;-134.487808;7.23000000;72.841996;2000.000000;9.8317;12.8420;2.766576e-10;7.7420
1 Apr 2023 04:55:24.000;2075.291029;167.727;5.870;-3.010;4.1500;-0.360;165.8330;0.1564;0.0016;0.0002;0.7828;172.4613;52.969047;2.250053;-172.821;-144.322014;7.23000000;63.007790;2000.000000;-0.0025;3.0078;2.278134e-02;-2.0922
1 Apr 2023 04:55:34.000;2004.771244;167.705;6.729;-3.010;4.1500;-0.360;165.5327;0.1383;0.0013;0.0001;0.6648;166.3608;52.880048;2.250053;-166.721;-138.221446;7.23000000;69.108358;2000.000000;6.0981;9.1084;2.720478e-05;4.0084
1 Apr 2023 04:55:44.000;1934.381032;167.682;7.627;-3.010;4.1500;-0.360;165.2223;0.1234;0.0011;0.0001;0.5723;162.9593;52.774206;2.250053;-163.319;-134.819950;7.23000000;72.509854;2000.000000;9.4996;12.5099;1.182939e-09;7.4099
1 Apr 2023 04:55:54.000;1864.144318;167.657;8.568;-3.010;4.1500;-0.360;164.9010;0.1107;0.0010;0.0001;0.4980;166.1389;52.649228;2.250053;-166.499;-137.999547;7.23000000;69.330257;2000.000000;6.3200;9.3303;1.734546e-05;4.2303
1 Apr 2023 04:56:04.000;1794.088373;167.632;9.559;-3.010;4.1500;-0.360;164.5683;0.1000;0.0008;0.0001;0.4371;166.3266;52.502375;2.250053;-166.687;-138.187246;7.23000000;69.142558;2000.000000;6.1323;9.1426;2.541771e-05;4.0426
1 Apr 2023 04:56:14.000;1724.244460;167.604;10.604;-3.010;4.1500;-0.360;164.2234;0.0906;0.0007;0.0001;0.3863;164.0335;52.330368;2.250052;-164.393;-135.894129;7.23000000;71.435675;2000.000000;8.4254;11.4357;6.604339e-08;6.3357
1 Apr 2023 04:56:24.000;1654.648644;167.574;11.710;-3.010;4.1500;-0.360;163.8655;0.0825;0.0007;0.0001;0.3434;160.9774;52.129255;2.250052;-161.337;-132.838038;7.23000000;74.491766;2000.000000;11.4815;14.4918;3.173261e-14;9.3918
1 Apr 2023 04:56:34.000;1585.342799;167.542;12.886;-3.010;4.1500;-0.360;163.4939;0.0753;0.0006;0.0001;0.3066;170.0042;51.894241;2.250052;-170.364;-141.864874;7.23000000;65.464930;2000.000000;2.4546;5.4649;3.987242e-03;0.3649
1 Apr 2023 04:56:44.000;1516.375859;167.507;14.139;-3.010;4.1500;-0.360;163.1076;0.0689;0.0005;0.0001;0.2748;158.5835;51.619479;2.250052;-158.944;-130.444168;7.23000000;76.885636;2000.000000;13.8753;16.8856;2.518740e-23;11.7856
1 Apr 2023 04:56:54.000;1447.805403;167.468;15.482;-3.010;4.1500;-0.360;162.7056;0.0632;0.0005;0.0001;0.2470;158.1069;51.297791;2.250051;-158.467;-129.967570;7.23000000;77.362234;2000.000000;14.3519;17.3622;8.294053e-26;12.2622
1 Apr 2023 04:57:04.000;1379.699657;167.426;16.925;-3.010;4.1500;-0.360;162.2871;0.0580;0.0004;0.0001;0.2225;178.0500;50.920303;2.250051;-178.410;-149.910693;7.23000000;57.419111;2000.000000;-5.5912;-2.5809;1.467027e-01;-7.6809
1 Apr 2023 04:57:14.000;1312.140051;167.379;18.486;-3.010;4.1500;-0.360;161.8510;0.0534;0.0004;0.0001;0.2007;172.0974;50.475982;2.250050;-172.457;-143.958095;7.23000000;63.371709;2000.000000;0.3614;3.3717;1.853587e-02;-1.7283
1 Apr 2023 04:57:24.000;1245.224489;167.326;20.180;-3.010;4.1500;-0.360;161.3964;0.0491;0.0003;0.0000;0.1813;156.5658;49.951013;2.250050;-156.926;-128.426455;7.23000000;78.903349;2000.000000;15.8930;18.9033;1.000000e-30;13.8033
1 Apr 2023 04:57:34.000;1179.071572;167.265;22.030;-3.010;4.1500;-0.360;160.9222;0.0452;0.0003;0.0000;0.1640;158.2769;49.327993;2.250049;-158.637;-130.137528;7.23000000;77.192276;2000.000000;14.1820;17.1923;6.841200e-25;12.0923
1 Apr 2023 04:57:44.000;1113.826051;167.196;24.060;-3.010;4.1500;-0.360;160.4278;0.0416;0.0003;0.0000;0.1483;157.1917;48.584873;2.250049;-157.552;-129.052357;7.23000000;78.277447;2000.000000;15.2671;18.2774;1.000000e-30;13.1774
1 Apr 2023 04:57:54.000;1049.665897;167.116;26.301;-3.010;4.1500;-0.360;159.9125;0.0383;0.0002;0.0000;0.1341;160.8885;47.693579;2.250048;-161.248;-132.749130;7.23000000;74.580674;2000.000000;11.5704;14.5807;1.756004e-14;9.4807
1 Apr 2023 04:58:04.000;986.811454;167.022;28.791;-3.010;4.1500;-0.360;159.3761;0.0353;0.0002;0.0000;0.1213;160.2852;46.618251;2.250047;-160.645;-132.145909;7.23000000;75.183894;2000.000000;12.1736;15.1839;2.276358e-16;10.0839
1 Apr 2023 04:58:14.000;925.537232;166.910;31.571;-3.010;4.1500;-0.360;158.8193;0.0325;0.0002;0.0000;0.1097;159.6640;45.313047;2.250045;-160.024;-131.524632;7.23000000;75.805172;2000.000000;12.7949;15.8052;1.328975e-18;10.7052
1 Apr 2023 04:58:24.000;866.186894;166.773;34.694;-3.010;4.1500;-0.360;158.2437;0.0299;0.0002;0.0000;0.0992;159.0266;43.719547;2.250044;-159.387;-130.887272;7.23000000;76.442532;2000.000000;13.4322;16.4425;3.014824e-21;11.3425
1 Apr 2023 04:58:34.000;809.191852;166.604;38.221;-3.010;4.1500;-0.360;157.6525;0.0275;0.0001;0.0000;0.0897;158.3768;41.764014;2.250042;-158.737;-130.237510;7.23000000;77.092294;2000.000000;14.0820;17.0923;2.279498e-24;11.9923
