Time;Range;Azimuth;Elevation;Xmtr_Power;Xmtr_Gain;EIRP;FSL;AL;RL;CL;TL;PL;FD;RF;RIP;FD;gT;CNo;B;CN;EbNo;BER;LM
1 Apr 2023 04:54:24.017;2499.975706;167.841;1.362;-3.01;-0.2083;-4.718;167.4501;0.4354;0.0088;0.0007;24.8154;229.2684;53.239712;2.250053;-233.987;-205.487286;7.23;1.842518;2000;-61.1678;-58.1575;4.99E-01;-63.2575
1 Apr 2023 04:54:34.000;2429.170615;167.824;2.049;-3.01;-0.2021;-4.712;167.2006;0.349;0.0059;0.0005;13.5974;186.1633;53.219857;2.250053;-190.875;-162.376086;7.23;44.953718;2000;-18.0566;-15.0463;4.01E-01;-20.1463
1 Apr 2023 04:54:44.000;2358.277165;167.806;2.76;-3.01;-0.193;-4.703;166.9433;0.287;0.0041;0.0003;6.4511;176.9672;53.191216;2.250053;-181.67;-153.170866;7.23;54.158938;2000;-8.8514;-5.8411;2.35E-01;-10.9411
1 Apr 2023 04:54:54.000;2287.428199;167.787;3.494;-3.01;-0.1809;-4.691;166.6784;0.2411;0.003;0.0003;2.9515;182.0828;53.152928;2.250053;-186.774;-158.2743;7.23;49.055504;2000;-13.9548;-10.9445;3.44E-01;-16.0445
1 Apr 2023 04:55:04.000;2216.637236;167.768;4.256;-3.01;-0.1653;-4.675;166.4053;0.2059;0.0024;0.0002;1.4847;168.815;53.103968;2.250053;-173.49;-144.990889;7.23;62.338915;2000;-0.6714;2.3389;3.21E-02;-2.7611
1 Apr 2023 04:55:14.000;2145.919273;167.748;5.047;-3.01;-0.1459;-4.656;166.1237;0.1784;0.0019;0.0002;0.9381;162.6271;53.04314;2.250053;-167.283;-138.783749;7.23;68.546055;2000;5.5358;8.5461;7.75E-05;3.4461
1 Apr 2023 04:55:24.000;2075.291029;167.727;5.87;-3.01;-0.1225;-4.633;165.833;0.1564;0.0016;0.0002;0.7828;172.4613;52.969047;2.250053;-177.094;-148.59455;7.23;58.735254;2000;-4.275;-1.2647;1.11E-01;-6.3647
1 Apr 2023 04:55:34.000;2004.771244;167.705;6.729;-3.01;-0.0947;-4.605;165.5327;0.1383;0.0013;0.0001;0.6648;166.3608;52.880048;2.250053;-170.965;-142.466101;7.23;64.863703;2000;1.8534;4.8637;6.65E-03;-0.2363
1 Apr 2023 04:55:44.000;1934.381032;167.682;7.627;-3.01;-0.0619;-4.572;165.2223;0.1234;0.0011;0.0001;0.5723;162.9593;52.774206;2.250053;-167.531;-139.031804;7.23;68.298;2000;5.2877;8.298;1.18E-04;3.198
1 Apr 2023 04:55:54.000;1864.144318;167.657;8.568;-3.01;-0.0236;-4.534;164.901;0.1107;0.001;0.0001;0.498;166.1389;52.649228;2.250053;-170.673;-142.173185;7.23;65.156619;2000;2.1463;5.1566;5.22E-03;0.0566
1 Apr 2023 04:56:04.000;1794.088373;167.632;9.559;-3.01;0.0206;-4.489;164.5683;0.1;0.0008;0.0001;0.4371;166.3266;52.502375;2.250053;-170.816;-142.316694;7.23;65.013109;2000;2.0028;5.0131;5.89E-03;-0.0869
1 Apr 2023 04:56:14.000;1724.24446;167.604;10.604;-3.01;0.0713;-4.439;164.2234;0.0906;0.0007;0.0001;0.3863;164.0335;52.330368;2.250052;-168.472;-139.972789;7.23;67.357015;2000;4.3467;7.357;4.85E-04;2.257
1 Apr 2023 04:56:24.000;1654.648644;167.574;11.71;-3.01;0.1294;-4.381;163.8655;0.0825;0.0007;0.0001;0.3434;160.9774;52.129255;2.250052;-165.358;-136.858603;7.23;70.471201;2000;7.4609;10.4712;1.17E-06;5.3712
1 Apr 2023 04:56:34.000;1585.342799;167.542;12.886;-3.01;0.1956;-4.314;163.4939;0.0753;0.0006;0.0001;0.3066;170.0042;51.894241;2.250052;-174.319;-145.81924;7.23;61.510564;2000;-1.4997;1.5106;4.62E-02;-3.5894
1 Apr 2023 04:56:44.000;1516.375859;167.507;14.139;-3.01;0.2708;-4.239;163.1076;0.0689;0.0005;0.0001;0.2748;158.5835;51.619479;2.250052;-162.823;-134.323329;7.23;73.006475;2000;9.9962;13.0065;1.29E-10;7.9065
1 Apr 2023 04:56:54.000;1447.805403;167.468;15.482;-3.01;0.3561;-4.154;162.7056;0.0632;0.0005;0.0001;0.247;158.1069;51.297791;2.250051;-162.261;-133.761506;7.23;73.568298;2000;10.558;13.5683;7.69E-12;8.4683
1 Apr 2023 04:57:04.000;1379.699657;167.426;16.925;-3.01;0.4525;-4.058;162.2871;0.058;0.0004;0.0001;0.2225;178.05;50.920303;2.250051;-182.108;-153.608239;7.23;53.721565;2000;-9.2887;-6.2784;2.46E-01;-11.3784
1 Apr 2023 04:57:14.000;1312.140051;167.379;18.486;-3.01;0.5613;-3.949;161.851;0.0534;0.0004;0.0001;0.2007;172.0974;50.475982;2.25005;-176.046;-147.546802;7.23;59.783002;2000;-3.2273;-0.217;8.39E-02;-5.317
1 Apr 2023 04:57:24.000;1245.224489;167.326;20.18;-3.01;0.684;-3.826;161.3964;0.0491;0.0003;0;0.1813;156.5658;49.951013;2.25005;-160.392;-131.89244;7.23;75.437364;2000;12.4271;15.4374;3.05E-17;10.3374
1 Apr 2023 04:57:34.000;1179.071572;167.265;22.03;-3.01;0.8222;-3.688;160.9222;0.0452;0.0003;0;0.164;158.2769;49.327993;2.250049;-161.965;-133.465326;7.23;73.864478;2000;10.8542;13.8645;1.50E-12;8.7645
1 Apr 2023 04:57:44.000;1113.826051;167.196;24.06;-3.01;0.9776;-3.532;160.4278;0.0416;0.0003;0;0.1483;157.1917;48.584873;2.250049;-160.724;-132.224783;7.23;75.105021;2000;12.0947;15.105;4.16E-16;10.005
1 Apr 2023 04:57:54.000;1049.665897;167.116;26.301;-3.01;1.1519;-3.358;159.9125;0.0383;0.0002;0;0.1341;160.8885;47.693579;2.250048;-164.247;-135.747182;7.23;71.582622;2000;8.5723;11.5826;4.03E-08;6.4826
1 Apr 2023 04:58:04.000;986.811454;167.022;28.791;-3.01;1.3472;-3.163;159.3761;0.0353;0.0002;0;0.1213;160.2852;46.618251;2.250047;-163.448;-134.948742;7.23;72.381062;2000;9.3708;12.3811;2.02E-09;7.2811
1 Apr 2023 04:58:14.000;925.537232;166.91;31.571;-3.01;1.5649;-2.945;158.8193;0.0325;0.0002;0;0.1097;159.664;45.313047;2.250045;-162.609;-134.10969;7.23;73.220114;2000;10.2098;13.2201;4.61E-11;8.1201
1 Apr 2023 04:58:24.000;866.186894;166.773;34.694;-3.01;1.8066;-2.703;158.2437;0.0299;0.0002;0;0.0992;159.0266;43.719547;2.250044;-161.73;-133.230678;7.23;74.099126;2000;11.0888;14.0991;3.77E-13;8.9991
1 Apr 2023 04:58:34.000;809.191852;166.604;38.221;-3.01;2.0726;-2.437;157.6525;0.0275;0.0001;0;0.0897;158.3768;41.764014;2.250042;-160.814;-132.314888;7.23;75.014916;2000;12.0046;15.0149;8.17E-16;9.9149
1 Apr 2023 04:58:44.000;755.093279;166.388;42.219;-3.01;2.362;-2.148;157.0514;0.0254;0.0001;0;0.0812;157.7209;39.355175;2.250039;-159.869;-131.36953;7.23;75.960274;2000;12.95;15.9603;3.27E-19;10.8603
1 Apr 2023 04:58:54.000;704.565906;166.102;46.765;-3.01;2.6713;-1.839;156.4499;0.0234;0.0001;0;0.0736;157.0685;36.384107;2.250036;-158.907;-130.407921;7.23;76.921883;2000;13.9116;16.9219;1.67E-23;11.8219
1 Apr 2023 04:59:04.000;658.439069;165.708;51.932;-3.01;2.993;-1.517;155.8617;0.0217;0.0001;0;0.067;156.4344;32.729124;2.250033;-157.951;-129.45212;7.23;77.877684;2000;14.8674;17.8777;8.16E-29;12.7777
1 Apr 2023 04:59:14.000;617.705582;165.129;57.78;-3.01;3.3144;-1.196;155.3071;0.0202;0.0001;0;0.0615;155.8393;28.27037;2.250028;-157.035;-128.535633;7.23;78.794171;2000;15.7839;18.7942;1.00E-30;13.6942
1 Apr 2023 04:59:24.000;583.500752;164.197;64.336;-3.01;3.6162;-0.894;154.8123;0.0189;0.0001;0;0.0569;155.3106;22.919201;2.250023;-156.204;-127.705024;7.23;79.62478;2000;16.6145;19.6248;1.00E-30;14.5248
1 Apr 2023 04:59:34.000;557.033008;162.451;71.563;-3.01;3.873;-0.637;154.4091;0.018;0.0001;0;0.0535;154.8806;16.664169;2.250017;-155.518;-127.018288;7.23;80.311516;2000;17.3012;20.3115;1.00E-30;15.2115
1 Apr 2023 04:59:44.000;539.445422;158.03;79.314;-3.01;4.0566;-0.453;154.1304;0.0174;0.0001;0;0.0513;154.5834;9.622193;2.25001;-155.037;-126.537415;7.23;80.792389;2000;17.7821;20.7924;1.00E-30;15.6924
1 Apr 2023 04:59:54.000;531.621834;128.9;86.989;-3.01;4.1426;-0.367;154.0035;0.0171;0.0001;0;0.0503;154.4465;2.066093;2.250002;-154.814;-126.314628;7.23;81.015176;2000;18.0049;21.0152;1.00E-30;15.9152
1 Apr 2023 05:00:04.000;533.991929;5.987;83.763;-3.01;4.1182;-0.392;154.0421;0.0172;0.0001;0;0.0506;154.484;-5.606526;2.249994;-154.876;-126.376549;7.23;80.953254;2000;17.943;20.9533;1.00E-30;15.8533
1 Apr 2023 05:00:14.000;546.422317;355.862;75.884;-3.01;3.9873;-0.523;154.242;0.0176;0.0001;0;0.0521;154.6913;-12.967028;2.249987;-155.214;-126.714688;7.23;80.615116;2000;17.6048;20.6151;1.00E-30;15.5151
1 Apr 2023 05:00:24.000;568.251174;353.079;68.349;-3.01;3.7689;-0.741;154.5822;0.0184;0.0001;0;0.0548;155.0468;-19.667374;2.24998;-155.788;-127.288526;7.23;80.041278;2000;17.031;20.0413;1.00E-30;14.9413
1 Apr 2023 05:00:34.000;598.447687;351.787;61.423;-3.01;3.4902;-1.02;155.032;0.0194;0.0001;0;0.0587;155.5186;-25.507507;2.249974;-156.538;-128.039071;7.23;79.290733;2000;16.2804;19.2907;1.00E-30;14.1907
